stage,dataset,quantity,channel_or_cue,RMS_before,RMS_after,retention_ratio,waveform_correlation,P300_positive_mean_difference_before,P300_positive_mean_difference_after
预处理,VisualCogA_Task-1,left_minus_right_ERP,Fz,7.581959457448026,7.581959457448026,0.9999999999999836,1.0,,
预处理,VisualCogA_Task-1,left_minus_right_ERP,F3,68.76659800904923,68.76659800904923,0.9999999999999981,0.9999999999999998,,
预处理,VisualCogA_Task-1,left_minus_right_ERP,F4,50.031822740415905,50.031822740415905,0.9999999999999974,0.9999999999999998,,
预处理,VisualCogA_Task-1,F3_minus_F4,left,13.24222700515048,13.24222700515048,0.9999999999999907,1.0,0.0,0.0
预处理,VisualCogA_Task-1,F3_minus_F4,right,5.764964891228105,5.764964891228105,0.9999999999999785,1.0,5.416872428931608,5.416872428931608
V3,VisualCogA_Task-1,left_minus_right_ERP,Fz,7.581959457448026,7.530726852643745,0.9932428279138218,0.9476334296618693,,
V3,VisualCogA_Task-1,left_minus_right_ERP,F3,68.76659800904923,12.14192622960132,0.17656720822518365,0.5703980879935698,,
V3,VisualCogA_Task-1,left_minus_right_ERP,F4,50.031822740415905,11.328939124913727,0.22643466706565016,0.36850633206071215,,
V3,VisualCogA_Task-1,F3_minus_F4,left,13.24222700515048,6.471153745178728,0.4886756391248809,0.9390287467247701,0.0,0.0
V3,VisualCogA_Task-1,F3_minus_F4,right,5.764964891228105,5.73507169509925,0.9948146785465312,-0.11056578065057755,5.416872428931608,-5.153878319965862
V4,VisualCogA_Task-1,left_minus_right_ERP,Fz,7.581959457448026,7.409138540521969,0.9772062989922203,0.9068425242483813,,
V4,VisualCogA_Task-1,left_minus_right_ERP,F3,68.76659800904923,23.72821552047587,0.3450543753430022,0.7957563214814926,,
V4,VisualCogA_Task-1,left_minus_right_ERP,F4,50.031822740415905,15.275526452751794,0.30531620908570506,0.5502610181539884,,
V4,VisualCogA_Task-1,F3_minus_F4,left,13.24222700515048,12.891710679272336,0.9735304095193407,0.9833190653007321,0.0,-0.21431121205028056
V4,VisualCogA_Task-1,F3_minus_F4,right,5.764964891228105,4.455131993742832,0.7727942975891503,0.13987209553594082,5.416872428931608,-4.313786779979408
预处理,VisualCogA_Task-2,left_minus_right_ERP,Fz,31.472282064008922,31.472282064008922,0.9999999999999961,1.0,,
预处理,VisualCogA_Task-2,left_minus_right_ERP,F3,75.65921921738295,75.65921921738295,0.9999999999999983,1.0,,
预处理,VisualCogA_Task-2,left_minus_right_ERP,F4,39.89855380357737,39.89855380357737,0.9999999999999968,0.9999999999999999,,
预处理,VisualCogA_Task-2,F3_minus_F4,left,16.967982284912615,16.967982284912615,0.9999999999999928,1.0,-16.958189498421476,-16.958189498421476
预处理,VisualCogA_Task-2,F3_minus_F4,right,18.973398468303834,18.973398468303834,0.9999999999999934,0.9999999999999999,18.67696068746328,18.67696068746328
V3,VisualCogA_Task-2,left_minus_right_ERP,Fz,31.472282064008922,16.115777041851405,0.5120625510750942,0.1670322701195792,,
V3,VisualCogA_Task-2,left_minus_right_ERP,F3,75.65921921738295,25.2191273127897,0.3333252387964834,0.26956824150874187,,
V3,VisualCogA_Task-2,left_minus_right_ERP,F4,39.89855380357737,8.544354415688536,0.21415198299549412,0.23376692715393027,,
V3,VisualCogA_Task-2,F3_minus_F4,left,16.967982284912615,9.239735235418925,0.5445394202016896,-0.30551859200295634,-16.958189498421476,-8.864577217662122
V3,VisualCogA_Task-2,F3_minus_F4,right,18.973398468303834,10.33889520418292,0.5449153045225177,0.9745137210277068,18.67696068746328,10.108784623697709
V4,VisualCogA_Task-2,left_minus_right_ERP,Fz,31.472282064008922,21.7372057292141,0.6906777743350315,0.26244665278033147,,
V4,VisualCogA_Task-2,left_minus_right_ERP,F3,75.65921921738295,45.883220090277284,0.606445857687828,0.2847418677400333,,
V4,VisualCogA_Task-2,left_minus_right_ERP,F4,39.89855380357737,18.650966913207707,0.46745972310242906,0.09791667351213423,,
V4,VisualCogA_Task-2,F3_minus_F4,left,16.967982284912615,13.09162246639399,0.7715485699224558,-0.47475537639848275,-16.958189498421476,-12.598223003344565
V4,VisualCogA_Task-2,F3_minus_F4,right,18.973398468303834,14.991515390363029,0.7901333762323671,0.96815024029734,18.67696068746328,14.69833979173682
预处理,VisualCogB_Task-1,left_minus_right_ERP,Fz,20.19503267155435,20.19503267155435,0.9999999999999939,1.0,,
预处理,VisualCogB_Task-1,left_minus_right_ERP,F3,21.315001264643282,21.315001264643282,0.9999999999999942,1.0,,
预处理,VisualCogB_Task-1,left_minus_right_ERP,F4,48.4900140498989,48.4900140498989,0.9999999999999973,1.0,,
预处理,VisualCogB_Task-1,F3_minus_F4,left,32.75135974873273,32.75135974873273,0.9999999999999961,1.0,-32.71069565559577,-32.71069565559577
