dataset,level,version,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,F3_F4_RMSE,positive_AUC_error,latency_error_ms
A1,0.0,old,14.550354649063877,0.12350814736868966,7.199116197232102,1.4069565120759384,1.5896279452089705,351.6751777502657,1.1067708333333333
A1,0.0,input,6.99255373542101e-15,6.122825123198149e-17,7.744925335948343e-15,8.081498433417285e-16,8.568180460968421e-15,2.0297837484880195e-13,0.0
A1,0.5,old,23.598873170142145,0.2059152342267502,16.598210643839312,3.9271465037179656,14.873768774932046,983.4113416344226,38.61545138888889
A1,0.5,input,19.59358374171818,0.17364614900723427,15.351014333414778,3.6262318190860006,14.968103526168909,908.6354680402411,39.817708333333336
A1,1.0,old,38.2920819366641,0.3372926521255903,29.436462717498966,6.888602241248128,28.257048698457364,1724.7899053407002,68.46354166666667
A1,1.0,input,39.10088977666268,0.3466017258309037,30.678253679816443,6.948922378007169,30.06870417469712,1740.3783280890777,70.32986111111111
A1,2.0,old,70.41473591627174,0.6227095752041006,55.25242075192153,12.563502919846087,54.54618896913539,3143.6123322498142,83.44184027777779
A1,2.0,input,78.00137456755122,0.6913560165371607,60.62857266469968,13.466727677649809,59.61963341935204,3369.1789185213024,84.56163194444444
A1,0.0,new,15.272789722963493,0.1276620553998605,7.570877899201691,1.5968649461792959,1.8693364292744188,399.1808038200524,2.1484375
A1,0.5,new,24.063212438771068,0.20884166377257463,17.093986415551633,3.926171141660166,14.961479076880005,984.0003325557075,39.296875
A1,1.0,new,38.3168169870327,0.3373805466461255,29.65113015616714,6.815510526445186,27.976416474660958,1706.7507279435729,67.30034722222223
A1,2.0,new,69.95424519642997,0.6198059030770828,54.88208730629858,12.399983352736362,53.548721834942995,3102.846364885854,82.91232638888889
A2,0.0,old,16.467711197231782,0.1000175629865886,9.99942844842496,4.936803443795871,1.182668712732934,1233.6979759697667,1.5104166666666667
A2,0.0,input,1.258139452611267e-14,7.767014437107331e-17,1.2894080337028058e-14,4.150383740390377e-15,1.386651122740543e-14,7.58859641791787e-13,0.0
A2,0.5,old,58.07693320956024,0.3498270362948807,44.755973069774605,14.901294072418468,40.672909454472055,3736.601337548321,57.73003472222222
A2,0.5,input,60.66944112492938,0.36529303906440513,47.666302430106164,16.857441698245232,43.11820272509495,4216.869792374385,63.072916666666664
A2,1.0,old,109.83669750061104,0.661748063426996,86.40259609909636,27.8293655685531,79.57204557553794,6968.612706970923,82.83420138888889
A2,1.0,input,121.02490565087034,0.7287740643039677,95.23596737956927,32.084133155305175,86.39535024254138,8026.698073345427,90.75954861111111
A2,2.0,old,213.7850425342168,1.287623805447177,169.81080836614214,51.32671756821227,157.1188639205914,12840.044752445943,101.83159722222221
A2,2.0,input,241.83088207761648,1.4563284929221223,189.65200715914514,59.273913708587465,172.60368497556868,14822.533021745981,104.92621527777779
A2,0.0,new,17.80875999229147,0.10752590103728085,9.911719668737442,5.873990169325109,1.4921334695103752,1469.0264344527775,0.13020833333333334
A2,0.5,new,57.41881449369613,0.3461021625154255,44.871647098654776,14.898889204530555,40.873611142857264,3737.8243544366496,53.676215277777786
A2,1.0,new,108.12409260591795,0.651929269457349,86.21199794670214,27.579067135607644,79.08321916491163,6908.782825790066,84.76128472222221
A2,2.0,new,211.20837090345222,1.272944371783486,167.92977737802684,50.67239646236658,155.18659750654737,12685.005000295165,102.80815972222221
B1,0.0,old,13.141697224169402,0.08991165288957072,5.748349933287279,1.5226831389749689,3.3531291656075006,380.9126536459618,14.765625
B1,0.0,input,1.0746791655469635e-14,7.406734857302898e-17,1.0383107731596793e-14,2.7552034727780968e-15,8.21464237331563e-15,7.697546304067752e-13,0.0
