period,permutation,max_abs_beta
post,1,0.17874976186906852
post,2,0.05765281476902426
post,3,0.03987426162466835
post,4,0.05919215030482921
post,5,0.03855187066022723
post,6,0.07881612403490008
post,7,0.0835151181115536
post,8,0.11052812684564156
post,9,0.071785425538579
post,10,0.03246607628851921
post,11,0.163081155747574
post,12,0.13486014239637373
post,13,0.08536589129760788
post,14,0.07454316259271947
post,15,0.04888449214412447
post,16,0.049029325314497135
post,17,0.10307547684132964
post,18,0.17439879354199042
post,19,0.11952323318888522
post,20,0.12564102398117813
post,21,0.11562237425705675
post,22,0.06206708786446327
post,23,0.11633354024089215
post,24,0.09961050667244672
post,25,0.033532839272964944
post,26,0.08388483176263448
post,27,0.04741764492246894
post,28,0.08146068793937647
post,29,0.05635203484516176
post,30,0.1106082416411033
post,31,0.05670956092297924
post,32,0.08656690532411444
post,33,0.14607641916577516
post,34,0.06465553114912033
post,35,0.14851949832662065
post,36,0.061814978533995986
post,37,0.10734583241433496
post,38,0.0852100221296083
post,39,0.12343272177735216
post,40,0.12296557778440297
post,41,0.07820228585971506
post,42,0.05243294458964244
post,43,0.1044238542460683
post,44,0.11129118009849845
post,45,0.10490257694000292
post,46,0.083791935916002
post,47,0.06446130563219521
post,48,0.05020202046672249
post,49,0.1295711293117104
post,50,0.04003625252595769
post,51,0.052327988673039005
post,52,0.062438310018418486
post,53,0.1156331926574822
post,54,0.0755815744279512
post,55,0.07197175635932265
post,56,0.0983785419194465
post,57,0.07973917976094953
post,58,0.08916103610270573
post,59,0.04323810133879945
post,60,0.08895999427289171
post,61,0.12319742437097861
post,62,0.16509275815903554
post,63,0.10240390984557637
post,64,0.04491955740875426
post,65,0.07458791219950471
post,66,0.03618033143319905
post,67,0.09205314254941331
post,68,0.12713903153970008
post,69,0.2420512221414526
post,70,0.11347096394983887
post,71,0.05955442086470046
post,72,0.10672544852182947
post,73,0.1347624446573182
post,74,0.06474180610032781
post,75,0.03936718436929617
post,76,0.0798563104230463
post,77,0.03228528242381992
post,78,0.09907102355290824
