trial_id,onset_sample,cue,boundary_ok,rejected,artifact_score,PTP,saturated_samples,max_jump,role,fold
1,5154,-1,True,False,0.7441378425679386,278.09690665461767,0.0,12.452989115208226,折外评价,5.0
2,7486,-1,True,False,1.297521954095866,120.05746548491948,0.0,15.339385754997352,折外评价,3.0
3,9647,1,True,False,0.0,116.7828281143145,0.0,6.150343757252216,折外评价,5.0
4,11776,-1,True,False,0.0,195.6164736706177,0.0,7.7215209495102215,折外评价,3.0
5,13888,1,True,False,2.7076751375066284,766.769724936865,0.0,11.88331596424382,折外评价,3.0
6,16049,1,True,False,1.4546754415685759,501.9262591920884,0.0,10.840203550233582,折外评价,1.0
7,18233,1,True,False,0.0,67.01525322906554,0.0,7.657755914838191,折外评价,4.0
8,20378,-1,True,False,0.0,137.72851987546102,0.0,7.393311160936992,折外评价,5.0
9,22478,-1,True,False,0.0,66.36180686418692,0.0,9.215681698408442,折外评价,4.0
10,24782,-1,True,False,0.0,107.59549428782644,0.0,8.714171475888278,折外评价,5.0
11,26963,1,True,False,0.0,118.66680485800319,0.0,7.03049607523981,折外评价,1.0
12,29103,-1,True,False,0.0,79.02970606518384,0.0,8.362753859243522,折外评价,1.0
13,31236,1,True,False,0.3534072348091661,161.2819945210931,0.0,11.790958892655055,折外评价,3.0
14,33360,1,True,True,3.288798312995108,886.7725270928302,135.0,12.92922458382668,质量剔除,
15,35553,-1,True,False,0.0,83.92172981198088,0.0,10.526989053661552,折外评价,2.0
16,37666,1,True,False,0.0,90.24234663035645,0.0,8.45785579058353,折外评价,5.0
17,39798,-1,True,False,0.2593029078642828,274.3900519415575,0.0,10.944304487294744,折外评价,1.0
18,41899,-1,True,False,0.4250043691829273,305.1721157002306,0.0,7.014030471287931,折外评价,1.0
19,44055,1,True,False,0.0,205.56135302038845,0.0,8.495550994389504,折外评价,5.0
20,46168,-1,True,False,1.554061482288613,519.4371006738538,0.0,10.715514745872497,折外评价,1.0
21,48304,1,True,False,0.0,135.42295292753963,0.0,8.086403098306135,折外评价,2.0
22,50461,1,True,False,0.0,153.7913695681777,0.0,8.81738203785818,折外评价,5.0
23,52617,1,True,True,2.8409234594903765,719.8201189917705,76.0,12.379961313079548,质量剔除,
24,54762,1,True,False,0.5507040987816562,323.27395369061753,0.0,10.925574680779505,折外评价,3.0
25,56882,1,True,False,4.575176946166389,1287.3098114273635,9.0,14.639924752405136,折外评价,4.0
26,58975,1,True,False,0.0,87.08906702302704,0.0,6.852201687378397,折外评价,3.0
27,61072,1,True,False,0.39675808004334845,143.47249022246464,0.0,11.93556999619367,折外评价,5.0
28,63176,1,True,False,0.39582632558785724,295.47694638986377,0.0,11.554447280234513,折外评价,2.0
29,65365,1,True,False,0.08286125360205464,145.0784983922906,0.0,10.924285732962048,折外评价,1.0
30,67489,-1,True,False,1.811124826177564,575.2865565151199,0.0,10.626221080267953,折外评价,3.0
31,69694,1,True,False,0.0,156.93671835777207,0.0,8.186022497132313,折外评价,2.0
32,71822,-1,True,False,1.0275411348217114,435.9202695919166,0.0,9.378836956314842,折外评价,4.0
33,73895,-1,True,False,0.0,246.23845385305285,0.0,10.003533532360024,折外评价,3.0
34,76035,1,True,False,1.1150774486041426,332.2510974301379,0.0,12.390511455462217,折外评价,3.0
35,78188,-1,True,False,0.1529060090038374,306.01796993750264,0.0,9.733976703797225,折外评价,2.0
36,80340,-1,True,True,16.511490546123092,2132.2467022612145,156.0,252.3537538014748,质量剔除,
37,82429,-1,True,False,1.379421396442061,324.46536813409,0.0,14.335524272934663,折外评价,2.0
38,84649,-1,True,False,1.8995870342345078,536.7189611592275,0.0,11.756235827213288,折外评价,5.0
39,86790,1,True,False,1.1093932256188546,419.94552476907506,0.0,10.907608827036597,折外评价,4.0
40,88926,1,True,False,1.3377210131255024,513.3767435839648,0.0,9.119323733183819,折外评价,2.0
41,91091,-1,True,False,0.9182285307030585,156.81903904801658,0.0,13.808706313518044,折外评价,2.0
42,93191,1,True,False,1.1451126814186647,274.62189458521203,0.0,13.841630207293406,折外评价,2.0
43,95340,1,True,False,1.3295809618320606,475.81417113513925,0.0,10.790167804327723,折外评价,4.0
44,97457,1,True,False,1.6761888449711702,187.42144641529245,0.0,17.025352547649,折外评价,4.0
45,99705,1,True,False,0.0,60.63109797246149,0.0,10.052274517622756,折外评价,4.0
46,101998,-1,True,False,4.6852390749652795,865.4589324236262,0.0,18.637258293159846,折外评价,1.0
47,104198,-1,True,False,3.7788409231663076,1052.4379921548714,0.0,13.193035362041314,折外评价,2.0
48,106294,1,True,False,4.3951726935350575,637.6455651888446,0.0,20.593432351818933,折外评价,4.0
49,108395,1,True,False,0.0,145.70574410586687,0.0,9.695487026876776,折外评价,2.0
50,110568,-1,True,False,3.8591975401114693,1017.3834731999643,0.0,14.401486787272205,折外评价,5.0
51,112656,1,True,False,1.6069999800117898,550.1116365261169,0.0,9.888392753255602,折外评价,5.0
52,114757,-1,True,False,1.6390479167943988,220.68894577717458,0.0,16.85256831282703,折外评价,4.0
53,116897,1,True,False,0.0,67.50106182892395,0.0,8.507976976621261,折外评价,2.0
54,118978,-1,True,True,19.060698618056954,2287.9060101981268,93.0,476.72874145452215,质量剔除,
55,121067,1,True,False,1.7955614983095143,571.8782846585136,0.0,10.915055301877302,折外评价,4.0
