trial_id,onset_sample,cue,boundary_ok,rejected,artifact_score,PTP,saturated_samples,max_jump,role,fold
1,5134,-1,True,False,0.4635222762295671,429.82174225869807,0.0,7.817505039747459,折外评价,5.0
2,7347,-1,True,False,3.035861941738121,949.892677416,0.0,12.819374241374021,折外评价,3.0
3,9611,-1,True,False,0.0,130.78829168667684,0.0,7.4626708067691965,折外评价,3.0
4,11871,1,True,False,0.0,173.01304211701506,0.0,9.953098090403387,折外评价,4.0
5,13996,-1,True,False,0.7241858047370369,134.1307837213368,0.0,12.577546274346048,折外评价,5.0
6,16161,1,True,False,3.246554314325776,786.7202535234517,0.0,14.502485427459533,折外评价,1.0
7,18321,1,True,False,2.2923177762089937,972.8653217690457,0.0,8.591931770377983,折外评价,5.0
8,20498,1,True,False,0.042765640363861344,350.683703053975,0.0,9.295910691830215,折外评价,3.0
9,22630,1,True,False,0.0,143.22631729649953,0.0,9.343131735739178,折外评价,4.0
10,24759,-1,True,False,3.067871238502086,961.983785056623,0.0,12.581890106604988,折外评价,4.0
11,26927,1,True,False,1.1685197514168384,595.3728644823371,0.0,8.469515364607616,折外评价,3.0
12,29131,1,True,False,0.2498413973412146,160.59983190792246,0.0,11.340227525835303,折外评价,1.0
13,31372,1,True,False,0.0,192.71041670734084,0.0,10.500228414011048,折外评价,2.0
14,33576,1,True,True,22.22795139268998,2288.749114033441,92.0,482.2277625255093,质量剔除,
15,35809,1,True,False,2.5549069844406143,855.2023223009768,0.0,12.095755297615824,折外评价,2.0
16,38033,1,True,True,22.729208215018033,2286.895065906572,158.0,476.5580469086226,质量剔除,
17,40198,-1,True,False,0.4474066315330939,433.9714089408243,0.0,9.34356580871497,折外评价,5.0
18,42378,1,True,False,0.0,187.309488555729,0.0,9.404151972363763,折外评价,2.0
19,44603,1,True,False,0.0,236.4728724995461,0.0,9.560679775979338,折外评价,3.0
20,46811,-1,True,False,4.528682471758941,1090.1868720331354,0.0,15.964696960118658,折外评价,1.0
21,49003,1,True,False,0.0,354.44693621839986,0.0,8.13053842509396,折外评价,1.0
22,51140,1,True,False,0.0,293.2249624135738,0.0,7.279973436228659,折外评价,5.0
23,53340,-1,True,True,22.84827834913962,2287.7006007122254,168.0,476.6496981467118,质量剔除,
24,55493,-1,True,False,0.0,280.0658119194549,0.0,10.508364142475102,折外评价,2.0
25,57693,-1,True,False,1.0039634981741126,564.4251536407152,0.0,9.237477947767047,折外评价,1.0
26,59878,1,True,False,2.813356436745487,879.6598576273633,0.0,12.84307257028135,折外评价,5.0
27,62070,-1,True,False,1.3092860817151377,638.7696008091966,0.0,10.037950592847949,折外评价,1.0
28,64295,-1,True,False,0.9425203612564746,157.36232106524432,0.0,13.188037841729496,折外评价,1.0
29,66447,-1,True,False,1.0902466845773902,587.8100642495558,0.0,10.553815293909338,折外评价,3.0
30,68632,1,True,False,2.4542639272215014,578.9509619383216,0.0,14.644305240781506,折外评价,5.0
31,70844,1,True,False,0.0,297.40625305895526,0.0,7.662061154540538,折外评价,5.0
32,73045,1,True,False,1.392530753314508,692.6622819319498,0.0,10.256801884454944,折外评价,3.0
33,75189,1,True,False,0.0846455728704336,407.8216281330355,0.0,9.907350621871046,折外评价,4.0
34,77369,1,True,False,0.0,222.02401994421245,0.0,8.213465802930642,折外评价,2.0
35,79566,-1,True,False,0.0,347.55560724362016,0.0,9.4873236937716,折外评价,4.0
36,81783,1,True,False,1.8132498514735509,627.2359917241333,0.0,11.83486447180411,折外评价,2.0
37,83959,-1,True,False,0.0,140.6228447346089,0.0,8.56515695676768,折外评价,3.0
38,86167,-1,True,False,2.445460245500997,785.8543205087703,0.0,12.241612479375931,折外评价,2.0
39,88412,1,True,False,1.4761338872253875,264.47165603192326,0.0,14.798128223201957,折外评价,4.0
40,90640,1,True,False,0.9349824682947423,185.94472973764158,0.0,13.166510371780504,折外评价,5.0
41,92817,1,True,False,2.518170551393798,787.0970932353985,0.0,12.461295397013487,折外评价,3.0
