dataset,feature,standardized_effect,low,high,interval
A1,1,0.1773922056157193,-0.3395936563868913,0.7146523378997811,fixed_fold_specific_nine_kernel_models_exploratory
A1,2,0.25236639010336603,-0.11726492682961169,0.6794034820895806,fixed_fold_specific_nine_kernel_models_exploratory
A1,3,0.24677056765739594,-0.1279045712607116,0.7247735152300318,fixed_fold_specific_nine_kernel_models_exploratory
A1,4,-0.21305253243036334,-0.6315814595541768,0.1540052417399026,fixed_fold_specific_nine_kernel_models_exploratory
A1,5,-0.26360402022141355,-0.8053839734019256,0.20366542151346564,fixed_fold_specific_nine_kernel_models_exploratory
A1,6,-0.25918711195685773,-0.6739725535732951,0.15403928209994674,fixed_fold_specific_nine_kernel_models_exploratory
A1,7,0.14228585199360475,-0.47459343513918206,0.3792835496222042,fixed_fold_specific_nine_kernel_models_exploratory
A1,8,0.3331177705775802,-0.0626514569744203,0.6910972077900098,fixed_fold_specific_nine_kernel_models_exploratory
A1,9,0.35539633662085884,-0.05873661154008966,0.7269535219880857,fixed_fold_specific_nine_kernel_models_exploratory
A2,1,0.20423616794683155,-0.08815137123463378,0.6049783715889199,fixed_fold_specific_nine_kernel_models_exploratory
A2,2,-0.19351498813853127,-0.7501744149754594,0.18404964648949337,fixed_fold_specific_nine_kernel_models_exploratory
A2,3,0.22608233100962966,-0.19912034036315948,0.5514196381665966,fixed_fold_specific_nine_kernel_models_exploratory
A2,4,0.010916324356147714,-0.5574131765273543,0.3786879169329954,fixed_fold_specific_nine_kernel_models_exploratory
A2,5,0.12643207006408028,-0.39242126938206495,1.0374838510781375,fixed_fold_specific_nine_kernel_models_exploratory
A2,6,-0.20371092937962437,-0.957237765510879,0.4474562835806929,fixed_fold_specific_nine_kernel_models_exploratory
A2,7,0.3418202707168625,-0.054013493784145696,0.6370976038136246,fixed_fold_specific_nine_kernel_models_exploratory
A2,8,-0.1463799868067797,-0.531455580584035,0.22168486740568868,fixed_fold_specific_nine_kernel_models_exploratory
A2,9,0.35371649487970164,-0.3199058825440046,1.0511948129477149,fixed_fold_specific_nine_kernel_models_exploratory
B1,1,-0.1610343996535012,-0.635996127354633,0.4294013588563388,fixed_fold_specific_nine_kernel_models_exploratory
B1,2,-0.09771722141925274,-0.4961461346323337,0.2883291847495499,fixed_fold_specific_nine_kernel_models_exploratory
B1,3,-0.05318726910527617,-0.38528574555233247,0.2706934236620223,fixed_fold_specific_nine_kernel_models_exploratory
B1,4,0.06552951690033525,-0.27818852310415726,0.5126299089397415,fixed_fold_specific_nine_kernel_models_exploratory
B1,5,0.050801392502823124,-0.4375594775428292,0.5000443655860466,fixed_fold_specific_nine_kernel_models_exploratory
B1,6,0.05015220898300567,-0.4728153564625853,0.5022217235011976,fixed_fold_specific_nine_kernel_models_exploratory
B1,7,0.3957600597537907,0.02557215992334347,0.724947135816651,fixed_fold_specific_nine_kernel_models_exploratory
B1,8,0.30814468966649916,-0.009379015211709705,0.5503350468955693,fixed_fold_specific_nine_kernel_models_exploratory
B1,9,0.26423510793269717,-0.07101529875134069,0.4792129543901724,fixed_fold_specific_nine_kernel_models_exploratory
B2,1,0.2818493475113958,0.009621379334866502,0.44094253869096306,fixed_fold_specific_nine_kernel_models_exploratory
B2,2,0.3457323499644146,0.13430964090500513,0.6319668638332664,fixed_fold_specific_nine_kernel_models_exploratory
B2,3,0.3693870546948942,0.0942804766419308,0.6570854854619353,fixed_fold_specific_nine_kernel_models_exploratory
B2,4,-0.3436562002468908,-0.4215569473043966,-0.22781030303217797,fixed_fold_specific_nine_kernel_models_exploratory
B2,5,-0.4406089926265574,-0.9206420860505635,-0.016329782001094143,fixed_fold_specific_nine_kernel_models_exploratory
B2,6,-0.43805006254811285,-0.8369452035043162,-0.13708744545401028,fixed_fold_specific_nine_kernel_models_exploratory
B2,7,0.24259802814694828,-0.4009890712453452,0.7663740307045268,fixed_fold_specific_nine_kernel_models_exploratory
B2,8,-0.09094251858579036,-0.5884617507154095,0.3972311494856809,fixed_fold_specific_nine_kernel_models_exploratory
B2,9,-0.17757365234692613,-0.793256229014579,0.5163263538195052,fixed_fold_specific_nine_kernel_models_exploratory
